FREQ;Frequency;BASE_CUR;Base Currency;QUOTE_CUR;Quote Currency;TENOR;Tenor;DECIMALS;CALCULATED;UNIT_MULT;Unit Multiplier;COLLECTION;Collection Indicator;TIME_PERIOD;OBS_VALUE
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-25;12.8679
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-26;12.6191
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-27;12.988
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-30;13.1483
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-03-31;12.9847
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-01;12.7385
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-02;12.8046
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-03;12.8205
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-06;12.9698
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-07;12.5941
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-08;12.728
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-14;12.9644
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-15;13.1033
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-16;13.0956
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-17;12.974
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-20;12.9029
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-21;13.0326
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-22;13.282
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-23;13.207
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-24;13.1186
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-27;13.1227
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-28;12.952
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-29;12.9012
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-04-30;12.8692
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-05-04;12.8877
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-05-05;12.8337
B;Business;GBP;Pound sterling;NOK;Norwegian krone;SP;Spot;4;false;0;Units;C;ECB concertation time 14:15 CET;2020-05-06;12.7102
